id,provider,title,description,body,date_published,url,language
12356,gmanetwork,Philippines withdraws from global extractive industries initiative on biased validation  GMA News Online,"The Philippines has backed out from the Extractive Industries Transparency Initiative (EITI) due to &ldquo;questionable&rdquo; metrics and procedures, the Department of Finance (DOF) said Wednesday.","Philippines withdraws from global extractive industries initiative on biased validation
By JON VIKTOR D. CABUENAS, GMA News
Published  June 22, 2022 4:59pm
The Philippines has backed out from the Extractive Industries Transparency Initiative (EITI) due to questionable metrics and procedures, the Department of Finance (DOF) said Wednesday.
In an emailed statement, the DOF said Finance Secretary Carlos Dominguez III informed EITI Chairman and former New Zealand Prime Minister Helen Clark of the decision in a letter dated June 20, 2022.
We find that the manner by which the EITI Board undertakes its Validation is unduly subjective, biased, and unfair, the letter read.
The Philippines has no confidence in the ability of the EITI to undertake an impartial, transparent, and evidence-based Validation process, Dominguez added in the letter.
The DOF chairs the Philippine Extractive Industries Transparency Initiative (PH-EITI), which governs the implementation of the EITI in the country.
The EITI is an international initiative where member countries commit to disclose inflation involving the extractive industry value chain, and agree to a common set of rules governing what has to be disclosed and when.
The EITI Board earlier this year said the Philippines only partly met the implementation, citing the need to improve the environment for civil society participation.
Validation identified supposed instances of intimidation of civil society activities and journalists in the Philippines, adding that these are possibly linked to interventions or positions on issues concerning extractive investments.
The conclusion of the Validation assessment, that Requirement 1.3 was partly met reflects serious concerns relating to the breaches of the civil society protocol, Clark said in February.
The corrective actions are both urgent and necessary. The decision to revisit application on the safeguard mechanism in October is an indication of the Boards intent to actively monitor the situation, she added.
For its part, the DOF said it has repeatedly sought the details of the supposed issues on civic space to allow the government to address these, but was not supplied with details by the EITI.
It also called out the EITI for its supposed lack of due process, and for imposing actions on the Philippines that allegedly violate its sovereignty.
We refuse to be taken hostage by unverified allegations from foreigners and people who have no mandate from the electorate, Dominguez said.
The government will continue to champion better resource and revenue management, and ensure that resource utilization remains open, accountable, and responsive to the needs and aspirations of Filipinos, he continued.
The Mining and Oil Index of the Philippine Stock Exchange closed Wednesday at 11,399.17, down by 94.22 points or 0.82%. The main PSEi lost 117.19 points or 1.86% to close at 6,168.00. RSJ, GMA News
Tags: business and industry Carlos Dominguez III DOF Extractive Industries Transparency Initiative EITI
More Videos",2022-06-22T08:59:49,https://www.gmanetwork.com/news/money/economy/835723/philippines-withdraws-from-global-extractive-industries-initiative-on-biased-validation/story/,en
12357,newslanes,Philippines Economic Tsar Brushes Aside Fears Of cronyism Under Marcos Jr Government,Ferdinand Bongbong Marcos Jrs economic policy chief has dismissed concerns the new administration in the Philippines will be prone to the corruption and,"on Philippines economic tsar brushes aside fears of cronyism under Marcos Jr government
Ferdinand Bongbong Marcos Jrs economic policy chief has dismissed concerns the new administration in the Philippines will be prone to the corruption and mismanagement that proliferated under the president-elects father.
Benjamin Diokno, who serves as the countrys central bank governor and is set to become finance secretary pending confirmation next month, also said the Philippines was positioned to grow its way out of the debt it incurred during the Covid-19 pandemic and would not need to raise taxes in the administrations first year in office.
My appointment itself is a sign that there will be a major departure from the accusation that there will be cronyism, Diokno, a veteran economist and policymaker, told the Financial Times.
He said Marcos Jr has put in place a team that is not political and I dont see any hint of cronyism. I am very confident that he wants to put up a team that will really solve many of our problems involving poverty, involving the economy, involving our debt problem.
Marcos Jr, the son of the late dictator Ferdinand Marcos, will be sworn in on June 30. He won a six-year term last month with the help of a social media campaign that opponents said misrepresented the economic record of his father, whose final years were marked by stagnation, corruption and misuse of state funds.
During Marcos Srs two decades in power, he plundered billions of dollars worth of state assets, according to Philippine officials who have tried to recover it after his 1986 ouster in a popular revolt. The family has maintained that they obtained their wealth legitimately.
Sara Duterte, left, takes her oath as the next vice-president of the Philippines  Ezra Acayan/Getty Images
After giving few details on his policies while campaigning, Marcos Jr eased concerns in the business community when he named Diokno, who also served in then-president Corazon Aquinos administration, as head of his economic team.
Peter Mumford, an analyst at Eurasia Group, said in a note published last week that Marcos had named credible, experienced people for many important cabinet positions and appeared intent on preventing his family or the other political dynasties backing him from having too much power.
Marcos Jrs vice-president is Sara Duterte, daughter of Rodrigo Duterte, the outgoing president.
The Philippines, like most other big economies in the region, is rebounding strongly as it reopens after strict lockdowns imposed during the pandemic. However, government debt has ballooned after the country battled one of south-east Asias heaviest Covid caseloads and borrowed heavily to keep citizens and companies afloat through lockdowns.
I think what I want to do is to keep the growth momentum going during the entire term of the president, and I think growth will solve a lot of our potential problems, Diokno told the FT.
The countrys public debt to gross domestic product ratio of about 64 per cent was not really scary and pretty manageable, he said.
The Philippine economy grew by 8.3 per cent in the first quarter of this year compared with the same period in 2021 and we expect the second quarter to be even higher, Diokno said.
Growth would be curbed by the war in Ukraine and the global slowdown, he conceded, but on an annual basis we expect the economy to grow between 7-8 per cent this year and 6-7 per cent for the next five years.
Carlos Dominguez, the current finance secretary, said last month that it was critical that the next administration undertook a fiscal consolidation plan to reverse within 10 years an additional 3.2tn pesos ($59bn) of debt incurred by the government during the pandemic.
Diokno confirmed that he planned to present a five or six-year medium-term fiscal programme next month that would be exactly the same plan that is handed over to us by Secretary Dominguez.
However, he added: It will not necessarily be focused on raising new taxes because we honestly believe the outgoing president is handing over a much superior tax system to what he inherited.
Recommended
As with Marcos Jr, Duterte  a populist strongman whose term was marked by harassment of critics and a drugs crackdown that killed thousands  had left the management of the economy mostly in the hands of non-political technocrats.
Reforms pursued during Dutertes term included an overhaul of the tax system under which levies on cigarettes and sugary drinks were sharply raised, while income taxes were cut and administration was improved.
A law passed in March allowed foreign investors to fully own companies in sectors such as airports, expressways and railways.
While not ruling out tax rises, Diokno said there would be maybe no [new] tax for the first year of this administration.
He added: I am going to focus on keeping the growth momentum going, because I truly believe a strong economy would bring in more revenues.
Follow on Twitter:",2022-06-22T02:01:49,https://newslanes.com/2022/06/21/philippines-economic-tsar-brushes-aside-fears-of-cronyism-under-marcos-jr-government/,en
12358,reportr,ADB Forecasts Strong Economic Growth for the Philippines in 2021,Economists are optimistic about the future of the Philippines.,"Shares
The future may yet be bright for the Philippines.
Despite the ongoing pandemic and months-long nationwide lockdown, the Asian Development Bank (ADB) sees  rosy economic growth for the Philippines next year.
In an interview with ANC on May 20, ADB senior economist James Villafuerte said the international lender is optimistic about a quick recovery in 2021 for most Asian countries, including the Philippines.
That's because we expect a very bad economic outcome this year which means that theres much opportunity for growth next year, said Villafuerte. I agree, theres room for a strong bounce-back for the Philippines next year.
The Philippine economy has shrunk for the first time in 22 years,  0.2 percent in the first quarter of 2020. The recession was triggered by stringent lockdown measures in Luzon and the temporary closure of businesses amid the pandemic.
BSP Anticipates 7 to 8 Percent Growth in 2021
On May 18, Bangko Sentral ng Pilipinas (BSP) governor Benjamin Diokno made a similar forecast, saying the country is likely to see a 7 or 8 percent economic growth next year, despite the banks projected economic contraction of 2 to 3.4 percent this year.
Continue reading below 
By next year, we are anticipating a growth of seven to eight percent, and thats the consensus among international organizatons, said Diokno in the interview.
Diokno cited the countrys healthy fiscal position, local banks buffering, and economic and tax reforms which will help keep the economy afloat in 2021.
READ MORE STORIES ABOUT",2022-06-21T21:45:00,https://www.reportr.world/news/adb-forecasts-strong-economic-growth-for-the-philippines-in-2021-a4349-20200520?ref=syn_bottom_esquireph,en
12359,gmanetwork,BSP seen to deliver back-to-back rate hikes  GMA News Online,"The Bangko Sentral ng Pilipinas (BSP) is likely to implement back-to-back policy rate hikes in a bid to ease the continuous inflationary uptrend in the country, the DBS Group Research said in its latest flash note.","BSP seen to deliver back-to-back rate hikes
By JON VIKTOR D. CABUENAS, GMA News
Published  June 21, 2022 11:38am
The Bangko Sentral ng Pilipinas (BSP) is likely to implement back-to-back policy rate hikes in a bid to ease the continuous inflationary uptrend in the country, the DBS Group Research said in its latest flash note.
According to economist Chua Han Teng, the central bank could raise the policy rates by 25 basis points when it meets on Thursday, June 23, with another follow-up hike scheduled on August 18.
An economy that is recovering from the pandemic amid looser virus restrictions means that extreme pandemic-era accommodation is no longer needed, the research note said.
The BSP will be keen to temper rising inflation expectations to keep in line with its price stability mandate, and avoid falling behind the curve, it added.
The central bank already raised hikes by 25 basis pointsfor the first time since 2018 last month, bringing the overnight reverse repurchase facility to 2.25%, the overnight deposit facility to 1.75%, and the overnight lending facility to 2.75%.
Inflation then stood at
5.4%
, marking the fastest reading in over three years since it clocked in at 5.2% in December 2018. This compares with the 4.9% in April, and 4.1% the same month last year.
The latest reading is also higher than the BSPs target range of 2% to 4% for the second straight month, which DBS Research believes to continue for some more months.
Domestic monetary tightening however would do little to tackle imported inflation driven by global supply-side disruptions, the research note said.
It flagged the possible impact of the depreciation of the Philippine peso against the US dollar, noting that it is weakening in the fastest annual pace in about five years.
The Philippine peso hit the P54:$1 levelon Monday, marking its weakest close in over three years, attributed to the latest remarks of the US Federal Reserve indicating further rate hikes.
A weakening peso might fan imported inflation at a time of elevated global commodity prices, and in turn stoke higher inflation expectations and second-round effects, which the BSP would want to contain, DBS said.
Energy Undersecretary Gerardo Erquiza Jr. on Monday said domestic pump prices could reach P100 per liter should the weekly increases continue.
Oil firms on Monday announced another hike in pump prices reflecting the third straight week of increases in the country. Prices have so far been on an uptrend for most of the year.AOL, GMA News
Tags: news Bangko Sentral ng Pilipinas policy rate hike dbs group research Economy
More Videos",2022-06-21T03:38:04,https://www.gmanetwork.com/news/money/economy/835558/bsp-seen-to-deliver-back-to-back-rate-hikes/story/,en
12360,gmanetwork,Balisacan says Philippine agriculture in crisis  GMA News Online,Incoming Socioeconomic Planning secretary and National Economic and Development Authority (NEDA) chief Arsenio Balisacan said Tuesday the Philippines&#39; agriculture sector is already in crisis.,"Balisacan says Philippine agriculture in crisis
By ANNA FELICIA BAJO, GMA News
Published  June 21, 2022 10:27am
Incoming Socioeconomic Planning secretary and National Economic and Development Authority (NEDA) chief Arsenio Balisacan said Tuesday the Philippines' agriculture sector is already in crisis.
In a television interview, Balisacan was asked if there is already a food crisis in the Philippines. He then cited the soaring prices of rice and meat products as well as the ""low profitability"" in farming, which has depicted the dilemma in the agriculture sector.
""Food crisis have risen already and as you know the Avian Flu, this problem has been with us that has led to grippling price increases of meat, rice prices have also been a problem that while the tariffication has brought down the cap of prices quite a bit, they are still high and the issues that concern farmers, the low profitability of rice farming in agriculture and farming in general have to be faced so with that I would say that our agriculture is in crisis,"" he said in an interview with CNN Philippines.
Asked if the situation will get worse, Balisacan said this could continue in the coming months as other nations are already eyeing to adjust the quantity of their export products for the benefit of their citizens.
""Some of the exporting countries are now planning to limit their exports to also protect their citizens from the prices. Many countries including us are going to address these realities by increasing their production,"" he said.
With these issues in the agriculture sector, Balisacan stressed the need to protect the poor and vulnerable sector, noting that they should be given the assistance they need in these difficult times.
He reiterated the remark of President-elect Ferdinand ""Bongbong"" Marcos Jr. that ramping up the process of the issuance of the National ID will help in the speedy distribution of assistance to the poor.
""Ang sa akin ang pinakauna (For me, the first thing), the rapid increase in price is already here and likely to get worse before they even get better. So we must protect the poorest and vulnerable groups in our society. We have to strengthen 'yung ayuda natin, but this time make sure the ayuda will go to the serving groups and not just to anyone,"" Balisacan said.
Balisacan's remark came after Marcos announced that he would sit as Agriculture secretary ""for now,""saying that he is giving high priority to the issues besetting the said sector.
Marcos said he wants to increase food production in the Philippines and restructure the Agriculture department.AOL, GMA News
Tags: news agriculture Arsenio Balisacan
More Videos",2022-06-21T02:27:19,https://www.gmanetwork.com/news/money/economy/835551/balisacan-says-philippine-agriculture-in-crisis/story/,en
12361,philstar,BSP says stagflation not immediate risk to economy,"MANILA The Philippines' central bank does not see stagflation as an immediate risk to the economy and is optimistic recovery will be sustained, its","Why Batangas is the destination for budget-friendly family holidays
MANILA 
The Philippines central bank does not see stagflation as an immediate risk to the economy and is optimistic recovery will be sustained, its governor said on Thursday.
Central banks across Asia are under pressure to tighten policy rates to tame inflation, though the move risks stunting growth and increasing unemployment.
A steady upturn in credit activity, ample domestic liquidity and improving labor market conditions will help boost economic activity, Bangko Sentral ng Pilipinas (BSP) Governor Benjamin Diokno said in a statement.
The BSP will remain vigilant over emerging price and output conditions and will undertake necessary action to ensure that monetary policy settings remain appropriately calibrated, Diokno
said.
The Philippines has signalled another rate increase for its June 23 policy meeting as risks to the inflation outlook tilt toward the upside for both 2022 and 2023.
The central bank last month started unwinding its easy money policy, lifting the overnight reverse repurchase facility rate
PHCBIR=ECI
by 25 basis points to 2.25%, to combat inflationary pressures.
Reporting by Neil Jerome Morales; Editing by Martin Petty and Ed Davies",2022-06-16T18:27:48,https://interaksyon.philstar.com/business/2022/06/16/219736/bsp-says-stagflation-not-immediate-risk-to-economy/,en
12362,gmanetwork,BSP says stagflation not an immediate risk to economy  GMA News Online,"In a statement, the BSP said that stagflation is not &ldquo;an immediate risk to the Philippine economy.&rdquo; Stagflation is an economic condition characterized by slow growth, high unemployment, and rising inflation.","BSP says stagflation not an immediate risk to economy
By TED CORDERO, GMA News
Published  June 16, 2022 7:15pm
Amid concerns from rising commodity prices, the Bangko Sentral ng Pilipinas (BSP) on Thursday allayed fears that the Philippine economy will fall under stagflation.
Stagflation is an economic condition characterized by slow growth, high unemployment, and rising inflation.
In a statement, the BSP said that stagflation is not an immediate risk to the Philippine economy.
The BSP is optimistic that the Philippine economy will sustain its recovery given the stronger-than-expected GDP growth of 8.3% in the first quarter of 2022, the central bank said.
The war between Russia and Ukraine has been causing global crude oil prices to skyrocket, resulting in the increase in domestic pump prices for net importing countries such as the Philippines.
The rise in fuel and transport cost caused inflationto accelerate to 5.4% in May, with quicker spikes seen on the prices of vegetables, meat, and fish.
However, the BSP said that the steady upturn in credit activity, ample domestic liquidity, and favorable market sentiment should also help boost economic activity.
The central bank added that consumer confidence has improved in the first quarter of 2022, while the countrys foreign direct investments (FDI) yielded net inflows in March.
Albeit at a 10-month low, the countrys FDI stood at a net inflowof $72 million in March, 9.8% lower than the $806 million recorded in the same month last year and the $893 million recorded in February.
Domestic labor conditions also continue to improve, with employment now approaching pre-pandemic levels following the easing of COVID-related mobility restrictions and sustained vaccination efforts. From a peak of 17.6% at the height of the pandemic in April 2020, the unemployment rate was down to 5.7% in April 2022, the BSP said.
The central bank noted that while domestic inflation is seen to remain elevated in the near term, as a result of supply-side factors linked to volatile global commodity prices, inflation is expected to revert to the government's target range of 2% to 4% by 2023.
In the meantime, the balance of risks to the inflation outlook now leans toward the upside for both 2022 and 2023, it said.
Given these considerations, the BSP reiterates its support for urgent and coordinated efforts of government agencies to ensure adequate domestic food supply, the central bank said.
It said that direct and targeted interventions made by the national government will be critical in tempering the impact of persistent supply-side pressures on prices and wage-setting.
The BSP will remain vigilant over emerging price and output conditions and will undertake necessary action to ensure that monetary policy settings remain appropriately calibrated, consistent with the BSP's price and financial stability mandates, it added.LDF, GMA News
Tags: stagflation Bangko Sentral ng Pilipinas Economy
More Videos",2022-06-16T11:15:56,https://www.gmanetwork.com/news/money/economy/835145/bsp-says-stagflation-not-an-immediate-risk-to-economy/story/,en
12363,bworldonline,"Govt must continue giving investors tax breaks, other perks","THE PHILIPPINES should continue offering globally competitive fiscal and non-fiscal incentives to attract more foreign investments that could boost the economy, the Philippine Economic Zone Authority (PEZA) chief said, after a business process outsourcing (BPO) firm decided to give up these perks to keep its current work setup.","Govt must continue giving investors tax breaks, other perks
June 13, 2022 | 12:33 am
FREEPIK
THE PHILIPPINES should continue offering globally competitive fiscal and non-fiscal incentives to attract more foreign investments that could boost the economy, the Philippine Economic Zone Authority (PEZA) chief said, after a business process outsourcing (BPO) firm decided to give up these perks
to keep its current work setup.
A major source of attracting investors is our globally competitive fiscal and non-fiscal incentives like the ease of doing business and in lowering the cost of doing business especially in our economic zones, PEZA Director-General Charito B. Plaza said in a mobile phone interview with
BusinessWorld
.
(The government) must attract huge capital investments to the country with zero or the least tax to create multiplier effects to the economy, total development and social progress, Ms. Plaza said. Those huge capital investments will develop our lands, bring in new technology, create thousands of jobs and livelihood, grow micro, small, and medium enterprises (MSMEs), more businesses, and industries as suppliers of raw and manufactured materials, others as the utilities, facilities and service providers to the principal and sub-industries.
The PEZA chiefs comments came after the Finance departments statement on the decision of BPO firm Concentrix to give up its tax perks in exchange for a continued hybrid work setup.
Finance Assistant Secretary Juvy C. Danofrata last week said that the companys decision shows these incentives are not that important to investors doing business in the Philippines.
Ms. Danofrata, who also heads the Fiscal Incentives Review Board (FIRB) secretariat, added that this move also validates the Finance departments policy thrust to avoid granting unnecessary perks due to its impact on government revenues. The FIRB monitors the tax breaks granted to registered businesses.
She added that some BPO firms have been enjoying these incentives for a long time.
For her part, Ms. Plaza said the FIRBs stance is sending wrong signals that the government is only after taxes.
Successful economies use strategies that provide both fiscal and non-
fi
scal incentives and even provide subsidies to investors. Foreign direct investments and multinational companies who have branches in many countries of the world weigh the e
ffi
ciency factors that contribute in lowering the cost of production, of pro
fi
tability, and in doing business, Ms. Plaza said.
Incentives granted to BPO companies located in economic zones are tied to how much work they perform on-site. The on-site work rules were eased during the pandemic, but the relaxed regime expired in March, mandating all businesses to implement a 100% on-site work arrangement in order to keep their incentives.
On the other hand, the PEZA is allowing its registered firms to implement a 70% on-site and 30% remote work arrangement until Sept. 12, or the end of the declared national state of calamity, as long as they apply for letters of authority.
Under the Corporate Recovery and Tax Incentives for Enterprises (CREATE) law, companies registered with investment promotion agencies like the PEZA are eligible for perks like an option to pay a 5% special corporate income tax in lieu of other taxes, an income tax holiday, and enhanced deductions.
These incentives are subject to compliance with Section 309 of the Tax Code, which requires that the companys business must be conducted within the geographical boundaries of the zone or freeport in which the project or activity is registered. 
Revin Mikhael D. Ochave",2022-06-12T16:33:44,https://www.bworldonline.com/top-stories/2022/06/13/454383/govt-must-continue-giving-investors-tax-breaks-other-perks/,en
12364,thehindubusinessline,Philippines lowers duty for imports of Indian rice to check rice cartel plans,"Fires first salvo against Thai-Vietnam proposal, says it views New Delhi as an alternative source","Updated on:
Jun 06, 2022
A farmer carries saplings to plant in a rice field on the outskirts of Srinagar. REUTERS/File photo

Global wheat prices jump after India export ban and Ukraine war: FAO
Fires first salvo against Thai-Vietnam proposal, says it views New Delhi as an alternative source
Vietnam has fired the first salvo against Thailand and Vietnam plans to set up a rice cartel by lowering the import duty on the Indian cereal from 50 per cent to 35 per cent.
Reacting to the proposal of Thailand and Vietnam, the second and third largest rice exporters in the global market, Fermin Adriano, the under-secretary in the Department of Agriculture, said an executive order has been issued to lower the duty. Manila is considering India as an alternative source of the foodgrain if the South-East Asian nations raised prices and formed a rice cartel, he was quoted by local media.
Raising farmers income
India is the worlds largest rice exporter accounting for about 40 per cent of global exports. Last year, rice shipments from the country topped 21.3 million tonnes, including Basmati rice. The Philippines imposes 50 per cent duty on rice imports from non-ASEAN nations.
On May 30, the Thailand government spokesperson Thanakorn Wangboonkongchana said Bangkok and Hanoi planned to increase the prices of the grain to raise farmers income and gain bargaining power in the global market. One of the reasons for the plans to form the cartel, according to Wangboonkongchana, is that foodgrain prices have been ruling for almost two decades now even as the production cost has increased.
Demand recovery
Both the nations came out with such a thought as the global demand for rice is on the way to recovery, overcoming the impact of the Covid pandemic.
According to the International Grains Council (IGC), India continues to be very competitive in the global rice market with its 25 per cent broken white rice quoting at $342 a tonne during the weekend. Vietnam is quoting $421 for its 5 per cent broken white rice and Thailand $449 for the same grade.
Vidya Sagar VR, Director, Bulk Logix, told
BusinessLine
that Indias 5 per cent broken white rice is quoted at around $340 free-on-board (f.o.b), while parboiled 5 per cent broken is ruling at $350-55 a tonne, 25 per cent broken white rice at $330 and 100 per cent broken at $320-5.
Competitive by over $100/tonne
Rice exports from India are booming now. We are quoting at least $100 a tonne lower than Vietnam and Thailand. China, Vietnam and the Philippines are buying good volumes, he said.
In particular, the Swarna variety rice is being shipped from West Bengal and this is similar to Sona Masuri rice grown in southern parts of India. Even for 100 per cent broken, the Swarna variety is getting preference, Sagar said.
In the domestic market, the modal price (the rate at which most trades take place) of rice is ruling at 1,700-960 a quintal across various agricultural markets in the country against the minimum support price of 1,960 for Grade A paddy.
Govt-to-govt deals
There is no need for India to join such a rice cartel when its share of the global  exports is 40 per cent. India has publicly committed itself to ensure that it would likely to feed the world and doesnt want anyone to go hungry, said S Chandrasekaran, a Delhi-based trade analyst.
This is the third time that Thailand has come out with such a proposal. In 2003, the plan did not take off. In 2008, Thailand wanted to form an organisation of rice exporting countries along with Vietnam, Cambodia and Myanmar. But the Philippines and Asian Development Bank, although Cambodia backed it. However, the proposal was shunned as the world opinion was against such a cartel.
India has a good chance to export more to the Philippines, said M Madan Prakash, President, Agri Commodity Exporters Association. The government in Manila is looking for government-to-government exports since private traders importing rice are selling it at a higher price, he said.
Even otherwise, enquiries from the Philippines are higher, he said, adding that no purpose would be served by India becoming a part of the cartel. India will have to raise or lower its price as per the cartels decision. This will not help the country in any way, Chandrasekaran said.
Thai, Viet exporters skeptical
The Thailand Rice Exporters also feel that a rice cartel is not a feasible proposition. However, the exporters association has not been taken into confidence over the proposal. Politicians dont understand the rice market and did not discuss this with the association, he said.
The Vietnam Food Association doesnt favour such an association at a time when there is food uncertainty. India has been able to dominate the global trade as it has ample stocks with it and its production is estimated at a record 129.66 million tonnes in the crop year ending this month.
Chandrasekaran said Thailand comes out with such proposals when it faces a crisis. But the situation is different from 2003 and 2008. Trade indication is that this is a government move and not supported by local exporters, he said.
Food security initiative
Meanwhile, The Rice Exporters Association of India (TREA) has launched a food security cooperating initiative with the Philippine Chamber of Commerce and Industry, the Southern Indian Chamber of Commerce and Industry and the Federation of Indian Chamber of Commerce along with the Philippines Department of Agriculture and Department of Trade and Industry.
TREA President BV Krishna Rao said through the initiative, India will help Manila to diversify its import basket in tune with what other large importers such as Indonesia are doing. The initiative was proposed by former Indian ambassador to the Philippines Jaideep Mazumdar.
During President Ram Nath Kovinds visit to Manila in October 2019, India had offered its public and private-sector led technical know-how, assistance and investments to improve the productivity of the rice value chain through agri fintech technologies. Besides, it offered help in warehouse receipt financing, predictive natural disaster monitoring and agri mechanisation.
Published on",2022-06-06T04:02:51,https://www.thehindubusinessline.com/economy/agri-business/philippines-lowers-duty-for-imports-of-indian-rice-to-check-rice-cartel-plans/article65499602.ece,en
12365,gmanetwork,Philippines eyes India as alternative import source amid Thai-Viet rice cartel plan DA exec  GMA News Online,"The Philippines is considering India, the world&rsquo;s top rice exporter, as an alternative source of the commodity should its neighbors in Southeast Asia proceed with their supposed plan to raise rice prices and create a rice cartel, a top official of the Department of Agriculture said Saturday.","Philippines eyes India as alternative import source amid Thai-Viet rice cartel plan DA exec
By TED CORDERO, GMA News
Published  June 4, 2022 11:31am
Agriculture Undersecretary Fermin Adriano on Saturday, June 4, 2022, says the Philippines is considering tapping India as an alternative source of rice.
The Philippines is considering India, the worlds top rice exporter, as an alternative source of the commodity should its neighbors in Southeast Asia proceed with their supposed plan to raise rice prices and create a rice cartel, a top official of the Department of Agriculture (DA) said Saturday.
In an interview on Dobol B TV, DA Undersecretary Fermin Adriano said that President Rodrigo Duterte has issued an executive order lowering the tariff on imported rice from India to 35% from 50%.
The rice import duty for countries not part of the Association of Southeast Asian Nations (ASEAN) is 50%.
Kung magkaganito, may alternative na pagkukunan, Adriano said.
(If this happens, we have an alternative source [of rice].)
A report by Reuters said that Thailands government announced its plan to create a pact with Vietnamto boost their bargaining power and help mitigate rising production costs.
Thailand and Vietnam are the world's second and third largest rice exporters.
The two countries account for 10% of global rice supply, according to data from the US Department of Agriculture.
India, however, accounts for about 40% of the world rice supply.
With this, Adriano said that the planned Thailand-Vietnam rice cartel would be impossible if India will not join the picture.
Mas mura ang presyo ng bigas mula sa India kumpara sa Vietnam. Ang problema ay logistics, he said.
(The rice from India is cheaper compared to Vietnam, but the problem is logistics.) KG, GMA News
Tags: agriculture Department of Agriculture fermin adriano India rice
More Videos",2022-06-04T03:31:52,https://www.gmanetwork.com/news/money/economy/833887/philippines-eyes-india-as-alternative-import-source-amid-thai-viet-rice-cartel-plan-da-exec/story/,en
